,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ligand,Ligand name,Binding Affinity,,,,,,
pu_4ldd_440909_uff_E=338.66,"Pimara-8(14),15-diene",-6.5,,,,,,
pu_4ldd_11636_uff_E=85.38,Heptacosane,-5.5,,,,,,
pu_4ldd_1549778_uff_E=108.04,Geranylacetone,-5.1,,,,,,
pu_4ldd_4133_uff_E=86.76,Methyl salicylate,-4.9,,,,,,
pu_4ldd_11635_uff_E=56.94,Octadecane,-4.8,,,,,,
pu_4ldd_14254_uff_E=50.80,2-Decanol,-4.6,,,,,,
pu_4ldd_15448_uff_E=54.73,2-Undecanol,-4.6,,,,,,
pu_4ldd_244_uff_E=68.48,Benzyl Alcohol,-4.5,,,,,,
pu_4ldd_31244_uff_E=74.15,4-Methoxybenzaldehyde,-4.5,,,,,,
pu_4ldd_454_uff_E=27.41,Octanal,-4.2,,,,,,
